SRC_ADD,DES_ADD,PKT_ID,FROM_NODE,TO_NODE,PKT_TYPE,PKT_SIZE,FID,SEQ_NUMBER,NUMBER_OF_PKT,NUMBER_OF_BYTE,NODE_NAME_FROM,NODE_NAME_TO,PKT_IN,PKT_OUT,PKT_R,PKT_DELAY_NODE,PKT_RATE,BYTE_RATE,PKT_AVG_SIZE,UTILIZATION,PKT_DELAY,PKT_SEND_TIME,PKT_RESEVED_TIME,FIRST_PKT_SENT,LAST_PKT_RESEVED,PKT_CLASS
6,24.6,442248,21,23,tcp,1540,7,12657,16091,24780100,Switch1,Router,39.560878,39.560878,39.571002,0,328.192835,505416,1540,0.236321,0,39.550755,39.581125,1,50.029102,Normal
24.5,5,530353,24,23,ack,55,6,14866,16091,885005,server1,Router,46.309589,46.309589,46.319592,0,328.204851,18051.3,55,0.00844,0,46.309589,46.339598,1.030042,50.057349,Normal
19.2,24.61,76062,22,23,cbr,1500,40,2920,9108,13662000,switch2,router,72.105457,72.108457,72.118577,0.003,1016.418257,1524630,1500,0.130291,0.037357,72.094857,72.132214,1,9.960878,UDP-Flood
24.1,10,57309,23,22,ack,55,11,1789,16103,885665,Router,Switch2,6.61535,6.61535,6.625354,0,328.561918,18070.9,55,0.008446,0,6.605347,6.635357,1.030013,50.040562,Normal
24,0,432833,24,23,ack,55,1,12419,16091,885005,server1,Router,38.828869,38.828869,38.838872,0,328.316229,18057.4,55,0.00844,0,38.828869,38.858878,1.03001,50.040685,Normal
0,24,403835,23,24,tcp,1540,1,11692,16091,24780100,Router,server1,36.624234,36.624741,36.634865,0.000507,328.316229,505606,1540,0.236321,0.000507,36.603987,36.634865,1,50.010675,Normal
24.2,2,367757,23,21,ack,55,3,10771,16091,885005,Router,Switch1,33.847661,33.847661,33.857664,0,328.26412,18054.5,55,0.00844,0,33.837658,33.867667,1.030022,50.048477,Normal
24.6,6,211358,24,23,ack,55,7,6585,16091,885005,server1,Router,21.112807,21.112807,21.122811,0,328.19309,18050.6,55,0.00844,0,21.112807,21.142817,1.030048,50.059112,Normal
24.1,10,492080,22,10,ack,55,11,13922,16103,885665,Switch2,clien-10,43.393915,43.393915,43.403918,0,328.561918,18070.9,55,0.008446,0,43.373909,43.403918,1.030013,50.040562,Normal
6.1,24.26,563568,6,21,cbr,1000,27,2982,6250,6250000,clien-6,Switch1,48.856,48.856,48.86608,0,124.942027,124942,1000,0.059605,0.001101,48.856,48.887341,25,75.0232,Normal
24.13,13,457836,24,23,ack,55,14,13048,16103,885665,server1,Router,40.746149,40.746149,40.756152,0,328.460278,18065.3,55,0.008446,0,40.746149,40.776158,1.030032,50.055747,Normal
24.1,1,6712,23,21,ack,55,2,203,16091,885005,Router,Switch1,1.854634,1.854634,1.864637,0,328.297902,18056.4,55,0.00844,0,1.84463,1.87464,1.030016,50.043427,Normal
24.9,9,253014,24,23,ack,55,10,7880,16085,884675,server1,Router,25.029141,25.029141,25.039144,0,328.064183,18043.5,55,0.008437,0,25.029141,25.059151,1.030058,50.060098,Normal
24.5,5,85661,24,23,ack,55,6,2667,16091,885005,server1,Router,9.277678,9.277678,9.287682,0,328.204851,18051.3,55,0.00844,0,9.277678,9.307688,1.030042,50.057349,Normal
14,24.14,55645,23,24,tcp,1540,15,1731,16103,24798600,Router,server1,6.466581,6.466581,6.476704,0,328.431807,505785,1540,0.236498,0,6.446334,6.476704,1,50.029965,Normal
24.1,1,447137,21,1,ack,55,2,12773,16091,885005,Switch1,clien-1,39.945656,39.945656,39.955659,0,328.297902,18056.4,55,0.00844,0,39.92565,39.955659,1.030016,50.043427,Normal
8,24.8,452223,8,21,tcp,1540,9,12905,16088,24775500,clien-8,Switch1,40.315082,40.315082,40.325205,0,328.11323,505294,1540,0.236278,0.000385,40.315082,40.345836,1,50.031854,Normal
0,24,54211,0,21,tcp,1540,1,1698,16091,24780100,clien-0,Switch1,6.314734,6.314734,6.324858,0,328.316229,505606,1540,0.236321,0,6.314734,6.345104,1,50.010675,Normal
24.2,2,185640,24,23,ack,55,3,5787,16091,885005,server1,Router,18.694662,18.694662,18.704665,0,328.26412,18054.5,55,0.00844,0,18.694662,18.724672,1.030022,50.048477,Normal
4.1,24.24,253858,23,24,cbr,1000,25,12,6250,6250000,Router,server1,25.1164,25.116714,25.126794,0.000314,124.942826,124943,1000,0.059605,0.000554,25.096,25.126794,25,75.02288,Normal
24.6,6,225453,24,23,ack,55,7,7024,16091,885005,server1,Router,22.440763,22.440763,22.450766,0,328.19309,18050.6,55,0.00844,0,22.440763,22.470772,1.030048,50.059112,Normal
24.11,11,453233,24,23,ack,55,12,12932,16103,885665,server1,Router,40.392883,40.392883,40.402887,0,328.522947,18068.8,55,0.008446,0,40.392883,40.422893,1.030019,50.046382,Normal
24.1,1,73795,21,1,ack,55,2,2298,16091,885005,Switch1,clien-1,8.17969,8.17969,8.189693,0,328.297902,18056.4,55,0.00844,0,8.159683,8.189693,1.030016,50.043427,Normal
1.1,24.21,445597,1,21,cbr,1000,22,1851,6250,6250000,clien-1,Switch1,39.808,39.808,39.81808,0,124.944025,124944,1000,0.059605,0.000362,39.808,39.838602,25,75.0224,Normal
24.6,6,418025,24,23,ack,55,7,12041,16091,885005,server1,Router,37.693419,37.693419,37.703423,0,328.19309,18050.6,55,0.00844,0,37.693419,37.723429,1.030048,50.059112,Normal
11,24.11,174930,11,22,tcp,1540,12,5464,16103,24798600,clien-11,Switch2,17.686065,17.686065,17.696188,0,328.522879,505925,1540,0.236498,0,17.686065,17.716434,1,50.016373,Normal
11.1,24.31,514329,11,22,cbr,1000,32,2510,6250,6250000,clien-11,Switch2,45.08,45.08,45.09008,0,124.943825,124944,1000,0.059605,0.000314,45.08,45.110554,25,75.02248,Normal
7,24.7,109741,7,21,tcp,1540,8,3429,16090,24778600,clien-7,Switch1,11.544555,11.544555,11.554678,0,328.167486,505378,1540,0.236307,0,11.544555,11.574925,1,50.029842,Normal
18.1,24.38,632902,18,22,cbr,1000,39,5818,6250,6250000,clien-18,Switch2,71.544,71.544,71.55408,0,124.941028,124941,1000,0.059605,0.00136,71.544,71.5756,25,75.0236,Normal
12,24.12,548598,22,23,tcp,1540,13,15346,16103,24798600,Switch2,Router,47.717456,47.717456,47.727579,0,328.491489,505876,1540,0.236498,0.00012,47.707333,47.737823,1,50.021057,Normal
11,24.11,37552,23,24,tcp,1540,12,1171,16103,24798600,Router,server1,4.766486,4.766486,4.776609,0,328.522879,505925,1540,0.236498,0,4.746239,4.776609,1,50.016373,Normal
24.14,14,226006,23,22,ack,55,15,7050,16103,885665,Router,Switch2,22.50547,22.50547,22.515473,0,328.432001,18063.8,55,0.008446,0,22.495467,22.525476,1.030038,50.059974,Normal
24.5,5,76698,23,21,ack,55,6,2388,16091,885005,Router,Switch1,8.442742,8.442742,8.452746,0,328.204851,18051.3,55,0.00844,0,8.432739,8.462749,1.030042,50.057349,Normal
0.2,24.42,41261,21,23,cbr,692,21,1583,9108,6302740,switch1,router,39.483798,39.486263,39.496318,0.002465,1016.54917,703452,692,0.060108,0.036295,39.473143,39.509438,1,9.959724,UDP-Flood
7.2,24.49,12335,21,23,cbr,1500,28,497,9588,14382000,switch1,router,12.506811,12.507051,12.517171,0.00024,1066.08599,1599130,1500,0.137157,0.03072,12.496571,12.527291,1,9.993646,UDP-Flood
24.4,4,347287,21,4,ack,55,5,10261,16091,885005,Switch1,clien-4,32.285676,32.285676,32.295679,0,328.218006,18052,55,0.00844,0,32.265669,32.295679,1.030035,50.055377,Normal
0,24,512611,21,23,tcp,1540,1,14436,16091,24780100,Switch1,Router,44.957856,44.957856,44.967979,0,328.316229,505606,1540,0.236321,0.000611,44.947733,44.978714,1,50.010675,Normal
3,24.3,378551,3,21,tcp,1540,4,11056,16091,24780100,clien-3,Switch1,34.664523,34.664523,34.674647,0,328.240918,505490,1540,0.236321,0.001722,34.664523,34.696616,1,50.02192,Normal
24.6,6,502166,23,21,ack,55,7,14158,16091,885005,Router,Switch1,44.156869,44.156869,44.166872,0,328.19309,18050.6,55,0.00844,0,44.146866,44.176875,1.030048,50.059112,Normal
2.1,24.22,611031,21,23,cbr,1000,23,4733,6250,6250000,Switch1,Router,62.87408,62.87424,62.88432,0.00016,124.943625,124944,1000,0.059605,0.00032,62.864,62.89456,25,75.02256,Normal
1,24.1,499666,21,23,tcp,1540,2,14110,16091,24780100,Switch1,Router,43.96513,43.96513,43.975253,0,328.297855,505578,1540,0.236321,0,43.955006,43.985376,1,50.013418,Normal
10.2,24.52,36964,22,23,cbr,1192,31,1344,8655,10316800,switch2,router,35.429433,35.430897,35.440993,0.001464,962.684973,1147520,1192,0.098389,0.033406,35.418857,35.452263,1,9.99048,UDP-Flood
13,24.13,244911,13,22,tcp,1540,14,7650,16103,24798600,clien-13,Switch2,24.274591,24.274591,24.284714,0,328.460131,505828,1540,0.236498,0,24.274591,24.30496,1,50.025737,Normal
24.15,15,253713,22,15,ack,55,16,7899,16092,885060,Switch2,clien-15,25.102859,25.102859,25.112862,0,328.206042,18051.3,55,0.008441,0,25.082853,25.112862,1.030045,50.060221,Normal
24.14,14,105434,24,23,ack,55,15,3289,16103,885665,server1,Router,11.143643,11.143643,11.153646,0,328.432001,18063.8,55,0.008446,0,11.143643,11.173653,1.030038,50.059974,Normal
0.1,24.2,611129,23,24,cbr,1000,21,4738,6250,6250000,Router,server1,62.92416,62.92416,62.93424,0,124.944425,124944,1000,0.059605,0,62.904,62.93424,25,75.02224,Normal
24.1,1,91993,24,23,ack,55,2,2867,16091,885005,server1,Router,9.877035,9.877035,9.887038,0,328.297902,18056.4,55,0.00844,0,9.877035,9.907045,1.030016,50.043427,Normal
0.2,24.42,12829,23,24,cbr,1500,21,492,9108,13662000,router,server1,13.015669,13.015669,13.025789,0,1016.54917,1524820,1500,0.130291,0.03036,12.995429,13.025789,1,9.959724,UDP-Flood
10,24.1,195253,10,22,tcp,1540,11,6101,16103,24798600,clien-10,Switch2,19.599267,19.599267,19.60939,0,328.561898,505985,1540,0.236498,0,19.599267,19.629637,1,50.010552,Normal
3,24.3,528639,23,24,tcp,1540,4,14836,16091,24780100,Router,server1,46.197496,46.198431,46.208554,0.000935,328.240918,505490,1540,0.236321,0.001724,46.176461,46.208554,1,50.02192,Normal
11,24.11,440960,23,24,tcp,1540,12,12639,16103,24798600,Router,server1,39.471445,39.471568,39.481691,0.000123,328.522879,505925,1540,0.236498,0.000123,39.451199,39.481691,1,50.016373,Normal
24.4,4,466322,24,23,ack,55,5,13254,16091,885005,server1,Router,41.397618,41.397618,41.407621,0,328.218006,18052,55,0.00844,0,41.397618,41.427627,1.030035,50.055377,Normal
24.5,5,5509,21,5,ack,55,6,166,16091,885005,Switch1,clien-5,1.749053,1.749053,1.759056,0,328.204851,18051.3,55,0.00844,0,1.729046,1.759056,1.030042,50.057349,Normal
3.2,24.45,49657,23,24,cbr,1500,24,1801,8655,12982500,router,server1,47.254886,47.255246,47.265366,0.00036,962.684973,1444030,1500,0.123811,0.03108,47.234286,47.265366,1,9.99048,UDP-Flood
4,24.4,494182,4,21,tcp,1540,5,13968,16091,24780100,clien-4,Switch1,43.535883,43.535883,43.546006,0,328.217832,505455,1540,0.236321,0,43.535883,43.566253,1,50.025368,Normal
24.3,3,501726,21,3,ack,55,4,14147,16091,885005,Switch1,clien-3,44.132667,44.132667,44.14267,0,328.241051,18053.3,55,0.00844,0,44.112661,44.14267,1.030029,50.051929,Normal
24.11,11,558838,23,22,ack,55,12,15601,16103,885665,Router,Switch2,48.502818,48.502818,48.512821,0,328.522947,18068.8,55,0.008446,0,48.492814,48.522824,1.030019,50.046382,Normal
8,24.8,510949,23,24,tcp,1540,9,14385,16088,24775500,Router,server1,44.840341,44.841059,44.851182,0.000718,328.11323,505294,1540,0.236278,0.000718,44.820094,44.851182,1,50.031854,Normal
3,24.3,117359,3,21,tcp,1540,4,3668,16091,24780100,clien-3,Switch1,12.26479,12.26479,12.274914,0,328.240918,505490,1540,0.236321,0,12.26479,12.29516,1,50.02192,Normal
9,24.9,398722,9,21,tcp,1540,10,11551,16085,24770900,clien-9,Switch1,36.211925,36.211925,36.222049,0,328.063862,505218,1540,0.236234,0,36.211925,36.242295,1,50.030088,Normal
25.1,26,6516,25,26,tcp,55,1,44,5630,309650,webcache,webserverlistin,7.043808,7.043808,7.074448,0,656.270166,36094.9,55,0.002953,0.03064,7.043808,7.074448,1.417136,9.99592,Normal
12,24.12,368118,23,24,tcp,1540,13,10797,16103,24798600,Router,server1,33.88525,33.88631,33.896434,0.00106,328.491489,505876,1540,0.236498,0.001352,33.86471,33.896434,1,50.021057,Normal
24,0,134919,24,23,ack,55,1,4209,16091,885005,server1,Router,13.921086,13.921086,13.93109,0,328.316229,18057.4,55,0.00844,0,13.921086,13.951096,1.03001,50.040685,Normal
24.12,12,441920,24,23,ack,55,13,12650,16103,885665,server1,Router,39.526042,39.526042,39.536045,0,328.491596,18067,55,0.008446,0,39.526042,39.556051,1.030026,50.051067,Normal
19.1,24.39,267083,23,24,cbr,1000,40,139,6250,6250000,Router,server1,26.13288,26.133658,26.143738,0.000778,124.940628,124941,1000,0.059605,0.001498,26.112,26.143738,25,75.02376,Normal
10.2,24.52,2752,22,23,cbr,1192,31,104,8655,10316800,switch2,router,3.579147,3.580611,3.590707,0.001464,962.684973,1147520,1192,0.098389,0.033407,3.568571,3.601978,1,9.99048,UDP-Flood
5,24.5,469655,23,24,tcp,1540,6,13350,16091,24780100,Router,server1,41.672626,41.672626,41.682749,0,328.204637,505434,1540,0.236321,0,41.652379,41.682749,1,50.027339,Normal
24.4,4,230354,23,21,ack,55,5,7173,16091,885005,Router,Switch1,22.910589,22.910589,22.920592,0,328.218006,18052,55,0.00844,0,22.900586,22.930595,1.030035,50.055377,Normal
9,24.9,445863,23,24,tcp,1540,10,12743,16085,24770900,Router,server1,39.847019,39.847744,39.857867,0.000725,328.063862,505218,1540,0.236234,0.000725,39.826773,39.857867,1,50.030088,Normal
25.1,26,14110,25,26,tcp,55,1,44,5630,309650,webcache,webserverlistin,14.15856,14.15856,14.1892,0,656.270166,36094.9,55,0.002953,0.03064,14.15856,14.1892,1.417136,9.99592,Normal
5.2,24.47,30436,23,24,cbr,1500,26,1165,9108,13662000,router,server1,29.400509,29.401349,29.411469,0.00084,1016.522962,1524780,1500,0.130291,0.03204,29.379429,29.411469,1,9.959955,UDP-Flood
6,24.6,338597,21,23,tcp,1540,7,10044,16091,24780100,Switch1,Router,31.609613,31.609613,31.619737,0,328.192835,505416,1540,0.236321,0,31.59949,31.62986,1,50.029102,Normal
12,24.12,257130,22,23,tcp,1540,13,8000,16103,24798600,Switch2,Router,25.357478,25.357478,25.367602,0,328.491489,505876,1540,0.236498,0,25.347355,25.377725,1,50.021057,Normal
1,24.1,51056,21,23,tcp,1540,2,1597,16091,24780100,Switch1,Router,6.025918,6.025918,6.036042,0,328.297855,505578,1540,0.236321,0,6.015795,6.046165,1,50.013418,Normal
24.13,13,528028,22,13,ack,55,14,14822,16103,885665,Switch2,clien-13,46.149488,46.149488,46.159491,0,328.460278,18065.3,55,0.008446,0,46.129482,46.159491,1.030032,50.055747,Normal
25,20,74285,23,21,tcp,576,0,943897,7110,4092144,router,switch1,70.423311,70.423311,70.433357,0,95.145988,54761.05236,575.547679,0.039026,0.113037,70.359536,70.472573,1.27255,75.999821,Normal
24.12,12,535858,22,12,ack,55,13,15017,16103,885665,Switch2,clien-12,46.750386,46.750386,46.760389,0,328.491596,18067,55,0.008446,0,46.730379,46.760389,1.030026,50.051067,Normal
24.3,3,86256,24,23,ack,55,4,2685,16091,885005,server1,Router,9.335101,9.335101,9.345104,0,328.241051,18053.3,55,0.00844,0,9.335101,9.36511,1.030029,50.051929,Normal
15,24.15,303235,22,23,tcp,1540,16,9155,16092,24781700,Switch2,Router,28.897446,28.897446,28.90757,0,328.205808,505437,1540,0.236337,0,28.887323,28.917693,1,50.030211,Normal
20,25,57942,23,25,tcp,55,0,44,7085,389675,router,webcache,55.132051,55.132051,55.162691,0,94.7212,5209.67,55,0.003716,0.071284,55.091407,55.162691,1.201267,75.999728,SIDDOS
0,24,255860,21,23,tcp,1540,1,7964,16091,24780100,Switch1,Router,25.259632,25.259693,25.269816,0.000061,328.316229,505606,1540,0.236321,0.0016,25.249509,25.281478,1,50.010675,Normal
2,24.2,200700,21,23,tcp,1540,3,6263,16091,24780100,Switch1,Router,20.122435,20.122435,20.132558,0,328.26404,505526,1540,0.236321,0,20.112312,20.142681,1,50.018467,Normal
8.1,24.28,422435,23,24,cbr,1000,29,1629,6250,6250000,Router,server1,38.0528,38.053526,38.063606,0.000726,124.941228,124941,1000,0.059605,0.001366,38.032,38.063606,25,75.02352,Normal
24.5,5,56217,23,21,ack,55,6,1750,16091,885005,Router,Switch1,6.511347,6.511347,6.52135,0,328.204851,18051.3,55,0.00844,0,6.501344,6.531354,1.030042,50.057349,Normal
11,24.11,169640,22,23,tcp,1540,12,5300,16103,24798600,Switch2,Router,17.197302,17.197302,17.207426,0,328.522879,505925,1540,0.236498,0,17.187179,17.217549,1,50.016373,Normal
3.2,24.45,52662,23,24,cbr,1500,24,1911,8655,12982500,router,server1,50.080314,50.137206,50.147326,0.056892,962.684973,1444030,1500,0.123811,0.087612,50.059714,50.147326,1,9.99048,UDP-Flood
24.14,14,444026,22,14,ack,55,15,12695,16103,885665,Switch2,clien-14,39.707877,39.707877,39.71788,0,328.432001,18063.8,55,0.008446,0,39.687871,39.71788,1.030038,50.059974,Normal
7.1,24.27,622261,7,21,cbr,1000,28,5291,6250,6250000,clien-7,Switch1,67.328,67.328,67.33808,0,124.941627,124942,1000,0.059605,0.00112,67.328,67.35936,25,75.02336,Normal
7,24.7,428370,7,21,tcp,1540,8,12309,16090,24778600,clien-7,Switch1,38.487263,38.487263,38.497386,0,328.167486,505378,1540,0.236307,0,38.487263,38.517632,1,50.029842,Normal
11.2,24.53,71144,23,24,cbr,692,32,2729,9108,6302740,router,server1,67.43749,67.440831,67.450886,0.003341,1016.449678,703384,692,0.060108,0.037172,67.413714,67.450886,1,9.960601,UDP-Flood
24.6,6,153447,23,21,ack,55,7,4780,16091,885005,Router,Switch1,15.672309,15.672309,15.682313,0,328.19309,18050.6,55,0.00844,0,15.662306,15.692316,1.030048,50.059112,Normal
11,24.11,383080,11,22,tcp,1540,12,11177,16103,24798600,clien-11,Switch2,35.012,35.012,35.022123,0,328.522879,505925,1540,0.236498,0.000124,35.012,35.042493,1,50.016373,Normal
13.2,24.55,37526,23,24,cbr,1500,34,1435,9108,13662000,router,server1,35.983366,35.984326,35.994446,0.00096,1016.443439,1524670,1500,0.130291,0.03216,35.962286,35.994446,1,9.960656,UDP-Flood
3.1,24.23,634616,21,23,cbr,1000,24,5904,6250,6250000,Switch1,Router,72.24208,72.24232,72.2524,0.00024,124.943226,124943,1000,0.059605,0.00048,72.232,72.26272,25,75.02272,Normal
24.14,14,258465,22,14,ack,55,15,8020,16103,885665,Switch2,clien-14,25.468824,25.468824,25.478827,0,328.432001,18063.8,55,0.008446,0,25.448818,25.478827,1.030038,50.059974,Normal
24.11,11,464392,22,11,ack,55,12,13219,16103,885665,Switch2,clien-11,41.268768,41.268768,41.278771,0,328.522947,18068.8,55,0.008446,0,41.248762,41.278771,1.030019,50.046382,Normal
5,24.5,382309,21,23,tcp,1540,6,11150,16091,24780100,Switch1,Router,34.96273,34.963283,34.973406,0.000553,328.204637,505434,1540,0.236321,0.0016,34.952606,34.984576,1,50.027339,Normal
16.1,24.36,585953,16,22,cbr,1000,37,3487,6250,6250000,clien-16,Switch2,52.896,52.896,52.90608,0,124.941827,124942,1000,0.059605,0.00104,52.896,52.92728,25,75.02328,Normal
5.1,24.25,367369,23,24,cbr,1000,26,1101,6250,6250000,Router,server1,33.82855,33.828994,33.839074,0.000444,124.942427,124942,1000,0.059605,0.000834,33.808,33.839074,25,75.02304,Normal
3,24.3,282516,21,23,tcp,1540,4,8638,16091,24780100,Switch1,Router,27.306322,27.306998,27.317122,0.000676,328.240918,505490,1540,0.236321,0.001599,27.296198,27.328168,1,50.02192,Normal
24.6,6,265656,24,23,ack,55,7,8196,16091,885005,server1,Router,26.001835,26.001835,26.011838,0,328.19309,18050.6,55,0.00844,0,26.001835,26.031845,1.030048,50.059112,Normal
3,24.3,11571,23,24,tcp,1540,4,366,16091,24780100,Router,server1,2.320621,2.320621,2.330744,0,328.240918,505490,1540,0.236321,0,2.300374,2.330744,1,50.02192,Normal
24.2,2,171904,23,21,ack,55,3,5353,16091,885005,Router,Switch1,17.409798,17.409798,17.419802,0,328.26412,18054.5,55,0.00844,0,17.399795,17.429805,1.030022,50.048477,Normal
24.8,8,338009,24,23,ack,55,9,10022,16088,884840,server1,Router,31.552985,31.552985,31.562988,0,328.113525,18046.2,55,0.008438,0,31.552985,31.582994,1.030054,50.061864,Normal
15,24.15,143496,22,23,tcp,1540,16,4482,16092,24781700,Switch2,Router,14.734524,14.734524,14.744647,0,328.205808,505437,1540,0.236337,0,14.724401,14.75477,1,50.030211,Normal
8.1,24.28,358413,23,24,cbr,1000,29,1015,6250,6250000,Router,server1,33.140785,33.141468,33.151548,0.000683,124.941228,124941,1000,0.059605,0.001308,33.12,33.151548,25,75.02352,Normal
15,24.15,497987,22,23,tcp,1540,16,14067,16092,24781700,Switch2,Router,43.83649,43.83649,43.846613,0,328.205808,505437,1540,0.236337,0,43.826366,43.856736,1,50.030211,Normal
17.1,24.37,641379,23,24,cbr,1000,38,6239,6250,6250000,Router,server1,74.93272,74.93336,74.94344,0.00064,124.941427,124941,1000,0.059605,0.0012,74.912,74.94344,25,75.02344,Normal
11,24.11,229944,11,22,tcp,1540,12,7182,16103,24798600,clien-11,Switch2,22.863317,22.863317,22.87344,0,328.522879,505925,1540,0.236498,0,22.863317,22.893686,1,50.016373,Normal
24.7,7,274712,23,21,ack,55,8,8424,16090,884950,Router,Switch1,26.707534,26.707534,26.717538,0,328.167767,18049.2,55,0.00844,0,26.697531,26.727541,1.030051,50.059851,Normal
10,24.1,396973,23,24,tcp,1540,11,11527,16103,24798600,Router,server1,36.098729,36.098729,36.108852,0,328.561898,505985,1540,0.236498,0,36.078482,36.108852,1,50.010552,Normal
24,0,361363,23,21,ack,55,1,10620,16091,885005,Router,Switch1,33.356063,33.356063,33.366066,0,328.316229,18057.4,55,0.00844,0,33.34606,33.37607,1.03001,50.040685,Normal
26,25.1,53802,26,25,ack,576,1,2886361,5628,3241730,webserverlistin,webcache,51.108496,51.22296,51.262176,0.114464,658.090443,379060,576,0.030916,0.15368,51.108496,51.262176,1.447776,9.999792,Normal
9,24.9,233537,23,24,tcp,1540,10,7288,16085,24770900,Router,server1,23.219779,23.219779,23.229902,0,328.063862,505218,1540,0.236234,0,23.199532,23.229902,1,50.030088,Normal
14,24.14,29993,22,23,tcp,1540,15,938,16103,24798600,Switch2,Router,4.042891,4.042891,4.053014,0,328.431807,505785,1540,0.236498,0,4.032768,4.063138,1,50.029965,Normal
19.1,24.39,572030,23,24,cbr,1000,40,3063,6250,6250000,Router,server1,49.524903,49.525666,49.535746,0.000763,124.940628,124941,1000,0.059605,0.001506,49.504,49.535746,25,75.02376,Normal
19.2,24.61,23921,19,22,cbr,692,40,917,9108,6302740,client-19,switch2,23.235429,23.236029,23.246084,0.0006,1016.418257,703362,692,0.060108,0.037449,23.235429,23.272878,1,9.960878,UDP-Flood
24.1,1,16078,24,23,ack,55,2,493,16091,885005,server1,Router,2.724077,2.724077,2.73408,0,328.297902,18056.4,55,0.00844,0,2.724077,2.754086,1.030016,50.043427,Normal
7.1,24.27,537377,21,23,cbr,1000,28,2731,6250,6250000,Switch1,Router,46.85808,46.858603,46.868683,0.000523,124.941627,124942,1000,0.059605,0.001126,46.848,46.879366,25,75.02336,Normal
5.1,24.25,639216,23,24,cbr,1000,26,6132,6250,6250000,Router,server1,74.07656,74.07696,74.08704,0.0004,124.942427,124942,1000,0.059605,0.0008,74.056,74.08704,25,75.02304,Normal
14.2,24.56,18697,23,24,cbr,1500,35,714,9108,13662000,router,server1,18.42848,18.42884,18.43896,0.00036,1016.4372,1524660,1500,0.130291,0.03096,18.408,18.43896,1,9.960711,UDP-Flood
14.1,24.34,446126,22,23,cbr,1000,35,1856,6250,6250000,Switch2,Router,39.85808,39.858522,39.868602,0.000442,124.942626,124943,1000,0.059605,0.000965,39.848,39.879205,25,75.02296,Normal
14.1,24.34,628481,14,22,cbr,1000,35,5599,6250,6250000,clien-14,Switch2,69.792,69.792,69.80208,0,124.942626,124943,1000,0.059605,0.00072,69.792,69.82296,25,75.02296,Normal
12.1,24.32,593025,12,22,cbr,1000,33,3839,6250,6250000,clien-12,Switch2,55.712,55.712,55.72208,0,124.943426,124943,1000,0.059605,0.0004,55.712,55.74264,25,75.02264,Normal
6,24.6,12074,6,21,tcp,1540,7,372,16091,24780100,clien-6,Switch1,2.346339,2.346339,2.356462,0,328.192835,505416,1540,0.236321,0,2.346339,2.376709,1,50.029102,Normal
24.7,7,551435,23,21,ack,55,8,15393,16090,884950,Router,Switch1,47.93549,47.93549,47.945493,0,328.167767,18049.2,55,0.00844,0,47.925487,47.955496,1.030051,50.059851,Normal
8,24.8,557045,8,21,tcp,1540,9,15546,16088,24775500,clien-8,Switch1,48.355088,48.355088,48.365211,0,328.11323,505294,1540,0.236278,0,48.355088,48.385458,1,50.031854,Normal
11,24.11,101665,11,22,tcp,1540,12,3178,16103,24798600,clien-11,Switch2,10.786122,10.786122,10.796245,0,328.522879,505925,1540,0.236498,0,10.786122,10.816491,1,50.016373,Normal
24.5,5,269513,21,5,ack,55,6,8293,16091,885005,Switch1,clien-5,26.318442,26.318442,26.328445,0,328.204851,18051.3,55,0.00844,0,26.298435,26.328445,1.030042,50.057349,Normal
24.2,2,395594,21,2,ack,55,3,11479,16091,885005,Switch1,clien-2,35.992675,35.992675,36.002679,0,328.26412,18054.5,55,0.00844,0,35.972669,36.002679,1.030022,50.048477,Normal
11,24.12,70681,22,23,ping,65535,0,-1,210,13762400,switch2,router,67.015243,67.020486,67.035728,0.005243,23.175081,1518780,65535.2,0.131248,0.061457,67,67.061457,0,9.061457,Smurf
6,24.6,402934,21,23,tcp,1540,7,11667,16091,24780100,Switch1,Router,36.545988,36.545988,36.556111,0,328.192835,505416,1540,0.236321,0,36.535865,36.566234,1,50.029102,Normal
10,24.1,479748,23,24,tcp,1540,11,13611,16103,24798600,Router,server1,42.447416,42.447955,42.458078,0.000539,328.561898,505985,1540,0.236498,0.000539,42.42717,42.458078,1,50.010552,Normal
8,24.8,142453,23,24,tcp,1540,9,4448,16088,24775500,Router,server1,14.644926,14.644926,14.655049,0,328.11323,505294,1540,0.236278,0,14.62468,14.655049,1,50.031854,Normal
24.14,14,550706,23,22,ack,55,15,15388,16103,885665,Router,Switch2,47.879547,47.879547,47.889551,0,328.432001,18063.8,55,0.008446,0,47.869544,47.899554,1.030038,50.059974,Normal
11,24.11,156985,23,24,tcp,1540,12,4905,16103,24798600,Router,server1,16.01606,16.01606,16.026183,0,328.522879,505925,1540,0.236498,0,15.995813,16.026183,1,50.016373,Normal
2,24.2,176983,21,23,tcp,1540,3,5529,16091,24780100,Switch1,Router,17.889979,17.889979,17.900102,0,328.26404,505526,1540,0.236321,0,17.879856,17.910225,1,50.018467,Normal
12,24.12,147397,22,23,tcp,1540,13,4609,16103,24798600,Switch2,Router,15.103992,15.103992,15.114115,0,328.491489,505876,1540,0.236498,0,15.093869,15.124238,1,50.021057,Normal
3,24.3,175074,3,21,tcp,1540,4,5469,16091,24780100,clien-3,Switch1,17.699704,17.699704,17.709827,0,328.240918,505490,1540,0.236321,0,17.699704,17.730073,1,50.02192,Normal
